gc=1
1 Fitness= 45960 Best= 45960
10001 Fitness= 11360 Best= 11360
20001 Fitness= 11360 Best= 11360
30001 Fitness= 11330 Best= 11330
40001 Fitness= 11330 Best= 11330
50001 Fitness= 11310 Best= 11310
60001 Fitness= 11310 Best= 11310
70001 Fitness= 11310 Best= 11310
80001 Fitness= 11310 Best= 11310
90001 Fitness= 11310 Best= 11310
100001 Fitness= 11310 Best= 11310
110001 Fitness= 11310 Best= 11310
120001 Fitness= 11270 Best= 11270
130001 Fitness= 11270 Best= 11270
140001 Fitness= 11270 Best= 11270
150001 Fitness= 11270 Best= 11270
160001 Fitness= 11270 Best= 11270
170001 Fitness= 11270 Best= 11270
180001 Fitness= 11270 Best= 11270
190001 Fitness= 11270 Best= 11270
200001 Fitness= 11270 Best= 11270
210001 Fitness= 11270 Best= 11270
220001 Fitness= 10290 Best= 10290
230001 Fitness= 10290 Best= 10290
240001 Fitness= 10290 Best= 10290
250001 Fitness= 10290 Best= 10290
260001 Fitness= 10290 Best= 10290
270001 Fitness= 10290 Best= 10290
280001 Fitness= 10290 Best= 10290
290001 Fitness= 10290 Best= 10290
300001 Fitness= 10290 Best= 10290
310001 Fitness= 10290 Best= 10290
320001 Fitness= 10290 Best= 10290
330001 Fitness= 10290 Best= 10290
340001 Fitness= 10290 Best= 10290
350001 Fitness= 10290 Best= 10290
360001 Fitness= 10290 Best= 10290
370001 Fitness= 10290 Best= 10290
380001 Fitness= 10290 Best= 10290
390001 Fitness= 10290 Best= 10290
400001 Fitness= 10290 Best= 10290
410001 Fitness= 10290 Best= 10290
420001 Fitness= 10290 Best= 10290
430001 Fitness= 10290 Best= 10290
440001 Fitness= 10290 Best= 10290
450001 Fitness= 10290 Best= 10290
460001 Fitness= 10290 Best= 10290
470001 Fitness= 10290 Best= 10290
480001 Fitness= 10290 Best= 10290
490001 Fitness= 10290 Best= 10290
500000 Fitness= 10290 Best= 10290


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
9245	4	2
9246	6	2
9976	2	1
9624	3	2
9912	2	1
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	1	9426	5	5
2	1	9911	1	1
3	1	10767	1	1
4	1	9166	1	2
5	2	10327	2	4
6	3	8826	1	1
7	1	10587	1	1
8	5	9105	1	1
9	1	10607	1	1
10	1	10088	2	4
11	1	10044	1	1
12	1	9996	1	1
13	2	9968	1	1
14	4	9265	4	4
15	1	10253	1	1
16	1	9246	6	2
17	1	10022	2	2
18	1	10327	2	4
19	2	10012	1	1
20	1	9426	5	5
21	1	10667	1	1
22	1	9528	1	1
23	1	9007	3	3
24	2	9999	4	4
25	5	10088	2	4
26	5	9265	4	4
27	3	9365	1	1
28	1	10016	1	1
29	1	10347	7	7
30	1	9667	2	2
31	3	10427	1	2
32	3	9489	1	2
33	1	10001	2	3
34	2	9982	2	2
35	1	9209	1	1
36	2	9225	1	2
37	1	9912	2	1
38	1	9245	4	2
39	1	10022	2	2
40	1	9246	6	2
41	2	10030	2	2
42	1	9426	5	5
43	1	10807	1	1
44	1	9667	2	2
45	1	9787	2	2
46	2	9565	1	1
47	1	9226	2	2
48	1	10064	2	2
49	1	9545	1	1
50	2	9887	3	3
51	3	10687	2	2
52	2	10023	1	2
53	3	10547	1	1
54	1	9624	3	2
55	2	10472	2	4
56	4	9426	5	5
57	4	9007	3	3
58	4	9989	1	1
59	1	10249	1	1
60	1	9992	1	1
61	2	9249	1	1
62	4	9007	3	3
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	1	10687	2	2
67	3	9265	4	4
68	3	9265	4	4
69	1	9827	1	1
70	1	9624	3	2
71	1	9976	2	1
72	1	10030	2	2
73	1	9999	4	4
74	1	10347	7	7
75	1	10046	1	4
76	1	9465	1	1
77	3	9688	1	1
78	4	10472	2	4
79	1	9245	4	2
80	1	10010	1	1
81	1	9999	4	4
82	3	8985	1	1
83	1	9887	3	3
84	1	9887	3	3
85	2	10039	2	2
86	1	9245	4	2
87	1	10013	1	1
88	1	10347	7	7
89	4	10127	3	4
90	1	10127	3	4
91	1	9982	2	2
92	3	9787	2	2
93	2	9627	1	1
94	1	10367	1	1
95	4	9620	1	1
96	1	9205	1	1
97	1	9246	6	2
98	1	8825	1	1
99	1	10627	1	1
100	1	10062	1	1
