Tstart 10.000000, Tend 0.010000, alpha 0.000020
1 Fitness= 45960 Best= 45960 T=9.999980
10001 Fitness= 4830 Best= 4740 T=9.800180
20001 Fitness= 3710 Best= 3680 T=9.600380
30001 Fitness= 3730 Best= 3660 T=9.400580
40001 Fitness= 3780 Best= 3650 T=9.200780
50001 Fitness= 3680 Best= 3570 T=9.000980
60001 Fitness= 3710 Best= 3570 T=8.801180
70001 Fitness= 3680 Best= 3510 T=8.601380
80001 Fitness= 3530 Best= 3440 T=8.401580
90001 Fitness= 3550 Best= 3420 T=8.201780
100001 Fitness= 2530 Best= 2500 T=8.001980
110001 Fitness= 2630 Best= 2430 T=7.802180
120001 Fitness= 1580 Best= 1520 T=7.602380
130001 Fitness= 1540 Best= 1510 T=7.402580
140001 Fitness= 1610 Best= 1510 T=7.202780
150001 Fitness= 1640 Best= 1510 T=7.002980
160001 Fitness= 1560 Best= 1510 T=6.803180
170001 Fitness= 1580 Best= 1510 T=6.603380
180001 Fitness= 1580 Best= 1510 T=6.403580
190001 Fitness= 1550 Best= 1510 T=6.203780
200001 Fitness= 1650 Best= 1510 T=6.003980
210001 Fitness= 1580 Best= 1510 T=5.804180
220001 Fitness= 1570 Best= 1510 T=5.604380
230001 Fitness= 1560 Best= 1510 T=5.404580
240001 Fitness= 1540 Best= 1500 T=5.204780
250001 Fitness= 1490 Best= 1490 T=5.004980
260001 Fitness= 1550 Best= 1490 T=4.805180
270001 Fitness= 1520 Best= 1490 T=4.605380
280001 Fitness= 1500 Best= 1470 T=4.405580
290001 Fitness= 1490 Best= 1460 T=4.205780
300001 Fitness= 1520 Best= 1460 T=4.005980
310001 Fitness= 1480 Best= 1460 T=3.806180
320001 Fitness= 1480 Best= 1460 T=3.606380
330001 Fitness= 1480 Best= 1460 T=3.406580
340001 Fitness= 1470 Best= 1460 T=3.206780
350001 Fitness= 1490 Best= 1460 T=3.006980
360001 Fitness= 1470 Best= 1460 T=2.807180
370001 Fitness= 1460 Best= 1460 T=2.607380
380001 Fitness= 1460 Best= 1460 T=2.407580
390001 Fitness= 1460 Best= 1460 T=2.207780
400001 Fitness= 1460 Best= 1460 T=2.007980
410001 Fitness= 1470 Best= 1460 T=1.808180
420001 Fitness= 1460 Best= 1460 T=1.608380
430001 Fitness= 1440 Best= 1440 T=1.408580
440001 Fitness= 1440 Best= 1440 T=1.208780
450001 Fitness= 1440 Best= 1440 T=1.008980
460001 Fitness= 1440 Best= 1440 T=0.809180
470001 Fitness= 1440 Best= 1440 T=0.609380
480001 Fitness= 1440 Best= 1440 T=0.409580
490001 Fitness= 1440 Best= 1440 T=0.209780
500000 Fitness= 1440 Best= 1440


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	2	10471	1	1
2	1	9911	1	1
3	1	10767	1	1
4	1	9166	1	2
5	1	9996	1	1
6	1	10000	1	1
7	1	10587	1	1
8	1	9426	5	5
9	1	10607	1	1
10	1	10088	1	4
11	1	10044	1	1
12	2	10147	1	2
13	3	9426	5	5
14	2	9689	1	1
15	1	10253	1	1
16	3	9667	2	2
17	1	10022	2	2
18	1	10327	2	4
19	2	10012	1	1
20	3	9105	1	1
21	1	10667	1	1
22	1	9528	1	1
23	1	9007	3	3
24	2	9999	4	4
25	3	10472	4	4
26	5	9265	4	4
27	1	10271	1	4
28	1	10016	1	1
29	1	10347	7	7
30	3	9225	2	2
31	3	10427	1	2
32	3	9489	1	2
33	1	10001	3	3
34	2	9982	2	2
35	1	9209	1	1
36	2	9225	2	2
37	1	9912	1	1
38	4	9265	4	4
39	1	10022	2	2
40	4	9265	4	4
41	2	10030	2	2
42	4	9993	1	1
43	1	10807	1	1
44	1	9667	2	2
45	4	10470	1	2
46	5	9787	2	2
47	1	9226	2	2
48	3	9991	1	1
49	3	9619	1	1
50	1	9265	4	4
51	2	9545	1	1
52	2	10023	1	2
53	1	9006	3	3
54	3	9982	2	2
55	1	9426	5	5
56	4	9426	5	5
57	1	10259	1	2
58	3	10527	1	1
59	1	10249	1	1
60	1	9992	1	1
61	2	9249	1	1
62	2	10327	2	4
63	1	10347	7	7
64	1	10347	7	7
65	3	9728	1	2
66	1	10687	2	2
67	4	10472	4	4
68	4	10472	4	4
69	2	9246	2	2
70	1	9624	2	2
71	4	10064	2	2
72	1	10030	2	2
73	1	9999	4	4
74	1	10347	7	7
75	1	10046	2	4
76	1	9465	1	1
77	1	10046	2	4
78	1	9887	3	3
79	5	10001	3	3
80	1	10010	1	1
81	1	9999	4	4
82	3	8985	1	1
83	1	9887	3	3
84	1	9887	3	3
85	2	10039	2	2
86	1	9245	2	2
87	2	10042	1	1
88	1	10347	7	7
89	2	10025	1	1
90	1	10127	2	4
91	2	9968	1	1
92	3	9787	2	2
93	3	10032	1	1
94	1	10367	1	1
95	1	8825	1	1
96	3	9007	3	3
97	1	9246	2	2
98	4	10472	4	4
99	1	10627	1	1
100	1	10062	1	1
101	1	9984	1	1
102	1	9226	2	2
103	1	10508	2	2
104	3	9989	1	1
105	1	10347	7	7
106	1	10013	1	1
107	2	10002	1	1
108	1	10747	1	1
109	2	9007	3	3
110	1	10007	1	1
111	1	10170	1	1
112	1	9306	1	1
113	1	10707	1	1
114	1	9627	1	1
115	5	9967	1	1
116	1	9245	2	2
117	1	9006	3	3
118	1	10128	1	1
119	2	10567	1	1
120	5	9613	1	1
121	1	10001	3	3
122	1	9205	1	1
123	2	9999	4	4
124	1	9927	1	1
125	3	9446	1	1
126	2	8885	1	1
127	1	10026	1	2
128	3	9827	1	1
129	4	10547	1	1
130	1	9206	1	1
131	1	10045	1	2
