1 Fitness= 44840 Best= 54740
10001 Fitness= 47940 Best= 33650
20001 Fitness= 39870 Best= 30830
30001 Fitness= 44790 Best= 30830
40001 Fitness= 50040 Best= 30830
50001 Fitness= 45700 Best= 30830
60001 Fitness= 46800 Best= 30830
70001 Fitness= 45920 Best= 30830
80001 Fitness= 54130 Best= 30830
90001 Fitness= 46910 Best= 30830
100000 Fitness= 51140 Best= 30830


=== RESULTS (last random solution) ===

Over-allocated projects (violations) :
PRJ_ID	N_ALLOC	MAX
10013	2	1
9205	6	1
9206	3	1
8885	2	1
9245	6	2
9246	5	2
9887	4	3
9505	2	1
9976	3	1
10062	3	1
9989	3	1
10248	3	1
10249	2	1
10508	3	2
9992	2	1
9624	3	2
9627	3	1
10527	2	1
9389	2	1
9565	2	1
9827	9	1
9912	4	1
9105	2	1
9667	3	2
Complete List of Project Allocations Made:
STUDENT	CHOICE	PRJ_ID	N_ALLOC	MAX
1	1	9426	5	5
2	4	9105	2	1
3	1	10767	1	1
4	4	9807	1	1
5	4	9406	1	1
6	4	10042	1	1
7	2	10062	3	1
8	4	10508	3	2
9	1	10607	1	1
10	1	10088	2	4
11	5	9627	3	1
12	3	10058	1	2
13	5	9991	1	1
14	5	9787	1	2
15	2	10647	1	1
16	5	9968	1	1
17	5	9205	6	1
18	4	9365	1	1
19	5	10508	3	2
20	4	9248	1	1
21	1	10667	1	1
22	4	10001	1	3
23	2	9667	3	2
24	5	10248	3	1
25	4	10030	1	2
26	1	9246	5	2
27	5	9989	3	1
28	4	10127	1	4
29	1	10347	7	7
30	3	9225	1	2
31	1	9993	1	1
32	1	9992	2	1
33	3	10007	1	1
34	1	9827	9	1
35	5	9667	3	2
36	5	9689	1	1
37	1	9912	4	1
38	3	9827	9	1
39	3	9624	3	2
40	5	10015	1	1
41	1	9667	3	2
42	1	9426	5	5
43	1	10807	1	1
44	5	9246	5	2
45	4	10470	2	2
46	4	10527	2	1
47	5	8885	2	1
48	5	10427	1	2
49	2	9208	1	1
50	4	9624	3	2
51	3	10687	1	2
52	4	10025	1	1
53	2	9105	2	1
54	5	9827	9	1
55	3	10267	1	2
56	3	9912	4	1
57	4	9007	2	3
58	4	9989	3	1
59	1	10249	2	1
60	4	9205	6	1
61	5	10248	3	1
62	4	9007	2	3
63	1	10347	7	7
64	1	10347	7	7
65	5	9827	9	1
66	4	9389	2	1
67	1	9426	5	5
68	5	9426	5	5
69	3	9245	6	2
70	5	9405	1	1
71	2	9827	9	1
72	5	10472	1	4
73	2	9976	3	1
74	1	10347	7	7
75	4	9999	2	4
76	3	10055	1	2
77	1	10046	1	4
78	1	9887	4	3
79	4	9246	5	2
80	2	10009	1	1
81	2	9565	2	1
82	4	9245	6	2
83	2	10332	1	1
84	1	9887	4	3
85	4	9206	3	1
86	3	9246	5	2
87	5	9306	1	1
88	1	10347	7	7
89	3	10547	1	1
90	4	9205	6	1
91	3	9976	3	1
92	4	9827	9	1
93	2	9627	3	1
94	1	10367	1	1
95	2	10039	1	2
96	2	9206	3	1
97	4	9976	3	1
98	3	9205	6	1
99	4	10470	2	2
100	1	10062	3	1
101	3	9245	6	2
102	2	9565	2	1
103	5	10107	1	4
104	3	9989	3	1
105	1	10347	7	7
106	1	10013	2	1
107	1	9627	3	1
108	3	10088	2	4
109	5	9505	2	1
110	3	10261	1	1
111	3	9346	1	1
112	3	10062	3	1
113	4	10388	1	1
114	3	10002	1	1
115	1	9912	4	1
116	1	9245	6	2
117	5	9992	2	1
118	1	10128	1	1
119	2	10567	1	1
120	3	9984	1	1
121	4	10013	2	1
122	2	9206	3	1
123	3	9827	9	1
124	4	9622	1	1
125	4	9205	6	1
